632 1049
627 1047 45.33199583333333 -121.66531171666666
625 1102 45.33011511666667 -121.6645008
227 687 45.3400326 -121.68255048333333
658 1052 45.332297833333335 -121.66470361666667
962 857 45.339037033333334 -121.65909086666667
1134 1203 45.330556 -121.649614
1286 1483 45.32565578333333 -121.64274515
640 1020 45.33283393333333 -121.66536875
614 659 45.343939533333334 -121.67216908333333
738 724 45.3426872 -121.66720595
1122 864 45.341495583333334 -121.65437228333333
724 620 45.345574383333336 -121.66962523333333
389 862 45.335471883333334 -121.67425671666666
448 456 45.34935095 -121.68172171666667
1516 1772 45.320092 -121.627997
1552 1359 45.329739 -121.635583
601 1655 45.309975 -121.64355
327 1446 45.313744 -121.660072
582 1268 45.324039 -121.660231
770 1373 45.32225 -121.652008
1403 1388 45.328461 -121.640203
1401 1533 45.326242 -121.636375
1098 1303 45.3281 -121.649044
683 968 45.334883 -121.66495
704 1145 45.329381 -121.661822
665 1280 45.324528 -121.657739
